id,dest_year,origin_countyfips,dest_statefips,dest_countyfips,dest_state,dest_county,returns,exempt,agi
1,1996,0,96,0,ID,Total Mig - US & For,31322,68515,785128
2,1996,0,97,0,ID,Total Mig - US,30879,67583,775446
3,1996,0,97,1,ID,Total Mig - US Same St,13325,29821,317347
4,1996,0,97,3,ID,Total Mig - US Diff St,17554,37762,458098
5,1996,0,98,0,ID,Total Mig - Foreign,443,932,9683
6,1996,1,96,0,ID,Ada County Tot Mig-US & For,6275,12786,201207
7,1996,1,97,0,ID,Ada County Tot Mig-US,6218,12685,199616
8,1996,1,97,1,ID,Ada County Tot Mig-Same St,2347,5040,65131
9,1996,1,97,3,ID,Ada County Tot Mig-Diff St,3871,7645,134485
10,1996,1,98,0,ID,Ada County Tot Mig-Foreign,57,101,1591
11,1996,1,16,1,ID,Ada County Non-Migrants,87739,201062,4058471
12,1996,1,16,27,ID,Canyon County,986,2186,29656
13,1996,1,53,33,WA,King County,183,266,5273
14,1996,1,49,35,UT,Salt Lake County,146,317,6871
15,1996,1,4,13,AZ,Maricopa County,135,255,4319
16,1996,1,16,83,ID,Twin Falls County,128,253,2884
17,1996,1,16,45,ID,Gem County,115,255,3563
18,1996,1,53,11,WA,Clark County,109,239,3498
19,1996,1,41,51,OR,Multnomah County,103,149,3608
20,1996,1,16,5,ID,Bannock County,102,211,2334
21,1996,1,41,67,OR,Washington County,100,210,4067
22,1996,1,16,39,ID,Elmore County,97,208,2149
23,1996,1,16,85,ID,Valley County,91,189,2729
24,1996,1,16,15,ID,Boise County,90,205,3120
25,1996,1,16,57,ID,Latah County,89,165,1700
26,1996,1,16,55,ID,Kootenai County,74,162,2301
27,1996,1,16,13,ID,Blaine County,67,114,2153
28,1996,1,16,75,ID,Payette County,65,123,1439
29,1996,1,41,5,OR,Clackamas County,62,117,2651
30,1996,1,6,73,CA,San Diego County,60,114,1361
31,1996,1,53,63,WA,Spokane County,59,131,2933
32,1996,1,16,19,ID,Bonneville County,58,139,1250
33,1996,1,32,3,NV,Clark County,57,110,2325
34,1996,1,49,49,UT,Utah County,55,146,2329
35,1996,1,6,85,CA,Santa Clara County,50,93,5206
36,1996,1,6,37,CA,Los Angeles County,46,70,1214
37,1996,1,32,31,NV,Washoe County,45,81,1437
38,1996,1,53,53,WA,Pierce County,45,86,957
39,1996,1,53,61,WA,Snohomish County,44,77,1494
40,1996,1,16,73,ID,Owyhee County,43,100,1420
41,1996,1,41,39,OR,Lane County,43,62,881
42,1996,1,41,45,OR,Malheur County,43,82,855
43,1996,1,41,3,OR,Benton County,40,97,2114
44,1996,1,2,20,AK,Anchorage Borough,39,69,945
45,1996,1,32,7,NV,Elko County,38,66,1050
46,1996,1,57,5,FR,Foreign - APO/FPO ZIPs,36,58,743
47,1996,1,6,67,CA,Sacramento County,35,63,908
48,1996,1,8,41,CO,El Paso County,34,87,1680
49,1996,1,16,69,ID,Nez Perce County,33,62,803
50,1996,1,41,47,OR,Marion County,33,56,1268
51,1996,1,16,47,ID,Gooding County,30,61,796
52,1996,1,6,59,CA,Orange County,29,67,992
53,1996,1,49,11,UT,Davis County,29,76,1427
54,1996,1,16,53,ID,Jerome County,28,65,919
55,1996,1,16,31,ID,Cassia County,26,60,599
56,1996,1,16,49,ID,Idaho County,26,55,762
57,1996,1,16,67,ID,Minidoka County,26,51,466
58,1996,1,8,5,CO,Arapahoe County,25,53,995
59,1996,1,16,87,ID,Washington County,25,45,641
60,1996,1,41,17,OR,Deschutes County,25,41,723
61,1996,1,6,65,CA,Riverside County,24,40,599
62,1996,1,17,31,IL,Cook County,24,39,855
63,1996,1,8,69,CO,Larimer County,23,59,1309
64,1996,1,53,5,WA,Benton County,23,42,505
65,1996,1,4,19,AZ,Pima County,22,30,421
66,1996,1,41,43,OR,Linn County,22,56,976
67,1996,1,8,31,CO,Denver County,21,30,559
68,1996,1,16,3,ID,Adams County,21,49,573
69,1996,1,30,63,MT,Missoula County,21,38,549
70,1996,1,6,1,CA,Alameda County,19,40,1042
71,1996,1,6,75,CA,San Francisco County,19,24,384
72,1996,1,16,37,ID,Custer County,19,30,284
73,1996,1,30,31,MT,Gallatin County,19,32,318
74,1996,1,6,71,CA,San Bernardino Count,18,40,310
75,1996,1,8,59,CO,Jefferson County,16,34,666
76,1996,1,27,53,MN,Hennepin County,16,28,658
77,1996,1,30,29,MT,Flathead County,16,29,423
78,1996,1,41,59,OR,Umatilla County,16,32,482
79,1996,1,48,453,TX,Travis County,16,33,630
80,1996,1,53,35,WA,Kitsap County,16,26,415
81,1996,1,6,81,CA,San Mateo County,15,21,667
82,1996,1,6,97,CA,Sonoma County,15,35,460
83,1996,1,41,1,OR,Baker County,15,26,245
84,1996,1,49,57,UT,Weber County,15,28,488
85,1996,1,53,71,WA,Walla Walla County,15,36,331
86,1996,1,6,61,CA,Placer County,14,40,803
87,1996,1,30,111,MT,Yellowstone County,14,22,257
88,1996,1,48,439,TX,Tarrant County,14,24,451
89,1996,1,8,35,CO,Douglas County,13,47,1129
90,1996,1,35,1,NM,Bernalillo County,13,26,601
91,1996,1,47,37,TN,Davidson County,13,52,370
92,1996,1,48,113,TX,Dallas County,13,30,979
93,1996,1,53,67,WA,Thurston County,13,28,355
94,1996,1,8,1,CO,Adams County,12,23,294
95,1996,1,15,3,HI,Honolulu County,12,17,184
96,1996,1,16,11,ID,Bingham County,12,46,269
97,1996,1,16,79,ID,Shoshone County,12,32,412
98,1996,1,41,29,OR,Jackson County,12,26,348
99,1996,1,41,41,OR,Lincoln County,12,19,553
100,1996,1,6,111,CA,Ventura County,11,35,1223
101,1996,1,8,13,CO,Boulder County,11,18,225
102,1996,1,12,95,FL,Orange County,11,18,260
103,1996,1,16,17,ID,Bonner County,11,25,315
104,1996,1,30,49,MT,Lewis And Clark Coun,11,20,288
105,1996,1,41,61,OR,Union County,11,26,282
106,1996,1,48,29,TX,Bexar County,11,20,572
107,1996,1,49,5,UT,Cache County,11,14,177
108,1996,1,53,73,WA,Whatcom County,11,21,142
109,1996,1,56,25,WY,Natrona County,11,31,300
110,1996,1,6,13,CA,Contra Costa County,10,19,393
111,1996,1,42,3,PA,Allegheny County,10,22,334
112,1996,1,58,0,SS,Other Flows - Same State,73,149,1594
113,1996,1,59,0,DS,Other Flows - Diff State,1459,2969,47293
114,1996,1,59,1,DS,Other Flows - Northeast,140,262,5723
115,1996,1,59,3,DS,Other Flows - Midwest,343,717,12526
116,1996,1,59,5,DS,Other Flows - South,407,849,12813
117,1996,1,59,7,DS,Other Flows - West,569,1141,16232
118,1996,1,57,9,FR,Foreign - Other flows,21,43,848
119,1996,3,96,0,ID,Adams County Tot Mig-US & For,116,258,2972
120,1996,3,97,0,ID,Adams County Tot Mig-US,116,258,2972
121,1996,3,97,1,ID,Adams County Tot Mig-Same St,76,168,1947
122,1996,3,97,3,ID,Adams County Tot Mig-Diff St,40,90,1025
123,1996,3,16,3,ID,Adams County Non-Migrants,1118,2735,28448
124,1996,3,16,1,ID,Ada County,21,40,544
125,1996,3,16,85,ID,Valley County,11,30,297
126,1996,3,16,75,ID,Payette County,10,24,159
127,1996,3,58,0,SS,Other Flows - Same State,34,74,947
128,1996,3,59,0,DS,Other Flows - Diff State,40,90,1025
129,1996,5,96,0,ID,Bannock County Tot Mig-US & For,1811,4105,45598
130,1996,5,97,0,ID,Bannock County Tot Mig-US,1811,4105,45598
131,1996,5,97,1,ID,Bannock County Tot Mig-Same St,727,1706,17622
132,1996,5,97,3,ID,Bannock County Tot Mig-Diff St,1084,2399,27975
133,1996,5,16,5,ID,Bannock County Non-Migrants,21665,55101,763250
134,1996,5,16,1,ID,Ada County,170,355,4521
135,1996,5,16,11,ID,Bingham County,110,307,2491
136,1996,5,16,19,ID,Bonneville County,105,235,2574
137,1996,5,49,35,UT,Salt Lake County,92,173,2205
138,1996,5,16,83,ID,Twin Falls County,51,114,958
139,1996,5,49,49,UT,Utah County,39,90,835
140,1996,5,16,77,ID,Power County,36,90,961
141,1996,5,16,27,ID,Canyon County,29,68,964
142,1996,5,49,5,UT,Cache County,28,64,511
143,1996,5,4,13,AZ,Maricopa County,27,64,670
144,1996,5,53,33,WA,King County,25,38,724
145,1996,5,49,11,UT,Davis County,22,68,848
146,1996,5,53,35,WA,Kitsap County,22,59,449
147,1996,5,16,65,ID,Madison County,21,39,383
148,1996,5,41,67,OR,Washington County,20,45,706
149,1996,5,49,57,UT,Weber County,18,54,792
150,1996,5,16,29,ID,Caribou County,16,39,363
151,1996,5,16,31,ID,Cassia County,16,44,247
152,1996,5,16,41,ID,Franklin County,16,43,433
153,1996,5,32,3,NV,Clark County,16,42,355
154,1996,5,16,57,ID,Latah County,15,32,276
155,1996,5,53,11,WA,Clark County,15,35,525
156,1996,5,6,73,CA,San Diego County,13,24,347
157,1996,5,16,43,ID,Fremont County,13,21,271
158,1996,5,32,31,NV,Washoe County,13,18,166
159,1996,5,41,51,OR,Multnomah County,13,19,194
160,1996,5,6,37,CA,Los Angeles County,12,14,183
161,1996,5,32,7,NV,Elko County,12,26,284
162,1996,5,49,53,UT,Washington County,12,29,306
163,1996,5,30,63,MT,Missoula County,11,14,214
164,1996,5,16,13,ID,Blaine County,10,18,182
165,1996,5,16,37,ID,Custer County,10,33,321
166,1996,5,16,59,ID,Lemhi County,10,20,239
167,1996,5,58,0,SS,Other Flows - Same State,99,248,2438
168,1996,5,59,0,DS,Other Flows - Diff State,674,1523,17663
169,1996,5,59,1,DS,Other Flows - Northeast,42,76,1387
170,1996,5,59,3,DS,Other Flows - Midwest,119,287,2955
171,1996,5,59,5,DS,Other Flows - South,144,345,4078
172,1996,5,59,7,DS,Other Flows - West,369,815,9243
173,1996,7,96,0,ID,Bear Lake Count Tot Mig-US & For,141,337,3217
174,1996,7,97,0,ID,Bear Lake Count Tot Mig-US,141,337,3217
175,1996,7,97,1,ID,Bear Lake Count Tot Mig-Same St,38,108,998
176,1996,7,97,3,ID,Bear Lake Count Tot Mig-Diff St,103,229,2219
177,1996,7,16,7,ID,Bear Lake Count Non-Migrants,1786,5325,52331
178,1996,7,49,5,UT,Cache County,25,45,313
179,1996,7,16,5,ID,Bannock County,12,27,358
180,1996,7,58,0,SS,Other Flows - Same State,26,81,640
181,1996,7,59,0,DS,Other Flows - Diff State,78,184,1906
182,1996,9,96,0,ID,Benewah County Tot Mig-US & For,214,471,4345
183,1996,9,97,0,ID,Benewah County Tot Mig-US,214,471,4345
184,1996,9,97,1,ID,Benewah County Tot Mig-Same St,93,226,2197
185,1996,9,97,3,ID,Benewah County Tot Mig-Diff St,121,245,2147
186,1996,9,16,9,ID,Benewah County Non-Migrants,2815,7021,86662
187,1996,9,16,55,ID,Kootenai County,44,112,1064
188,1996,9,53,63,WA,Spokane County,18,29,276
189,1996,9,16,57,ID,Latah County,13,30,254
190,1996,9,16,79,ID,Shoshone County,11,27,258
191,1996,9,58,0,SS,Other Flows - Same State,25,57,622
192,1996,9,59,0,DS,Other Flows - Diff State,103,216,1872
193,1996,11,96,0,ID,Bingham County Tot Mig-US & For,982,2386,21605
194,1996,11,97,0,ID,Bingham County Tot Mig-US,982,2386,21605
195,1996,11,97,1,ID,Bingham County Tot Mig-Same St,566,1343,12612
196,1996,11,97,3,ID,Bingham County Tot Mig-Diff St,416,1043,8993
197,1996,11,16,11,ID,Bingham County Non-Migrants,11867,35053,388006
198,1996,11,16,19,ID,Bonneville County,196,461,4173
199,1996,11,16,5,ID,Bannock County,179,384,3566
200,1996,11,16,1,ID,Ada County,44,90,1080
201,1996,11,49,35,UT,Salt Lake County,41,106,882
202,1996,11,49,49,UT,Utah County,30,51,444
203,1996,11,49,5,UT,Cache County,23,43,282
204,1996,11,4,13,AZ,Maricopa County,22,47,356
205,1996,11,16,51,ID,Jefferson County,21,53,533
206,1996,11,16,77,ID,Power County,19,50,651
207,1996,11,16,83,ID,Twin Falls County,16,41,366
208,1996,11,16,31,ID,Cassia County,10,25,253
209,1996,11,58,0,SS,Other Flows - Same State,81,239,1991
210,1996,11,59,0,DS,Other Flows - Diff State,300,796,7028
211,1996,13,96,0,ID,Blaine County Tot Mig-US & For,641,1127,19508
212,1996,13,97,0,ID,Blaine County Tot Mig-US,641,1127,19508
213,1996,13,97,1,ID,Blaine County Tot Mig-Same St,213,436,5306
214,1996,13,97,3,ID,Blaine County Tot Mig-Diff St,428,691,14202
215,1996,13,16,13,ID,Blaine County Non-Migrants,5952,12304,287940
216,1996,13,16,1,ID,Ada County,63,107,1707
217,1996,13,16,83,ID,Twin Falls County,35,70,674
218,1996,13,53,33,WA,King County,34,41,854
219,1996,13,6,75,CA,San Francisco County,16,18,1895
220,1996,13,16,63,ID,Lincoln County,16,39,360
221,1996,13,6,37,CA,Los Angeles County,14,26,531
222,1996,13,16,53,ID,Jerome County,14,33,363
223,1996,13,4,13,AZ,Maricopa County,13,23,451
224,1996,13,16,47,ID,Gooding County,11,28,298
225,1996,13,41,51,OR,Multnomah County,11,12,362
226,1996,13,6,73,CA,San Diego County,10,23,562
227,1996,13,16,57,ID,Latah County,10,11,111
228,1996,13,58,0,SS,Other Flows - Same State,64,148,1793
229,1996,13,59,0,DS,Other Flows - Diff State,330,548,9548
230,1996,13,59,1,DS,Other Flows - Northeast,26,35,572
231,1996,13,59,3,DS,Other Flows - Midwest,41,69,1557
232,1996,13,59,5,DS,Other Flows - South,28,48,845
233,1996,13,59,7,DS,Other Flows - West,235,396,6575
234,1996,15,96,0,ID,Boise County Tot Mig-US & For,167,343,3899
235,1996,15,97,0,ID,Boise County Tot Mig-US,167,343,3899
236,1996,15,97,1,ID,Boise County Tot Mig-Same St,121,253,2703
237,1996,15,97,3,ID,Boise County Tot Mig-Diff St,46,90,1196
238,1996,15,16,15,ID,Boise County Non-Migrants,1113,2649,34774
239,1996,15,16,1,ID,Ada County,84,164,1867
240,1996,15,16,27,ID,Canyon County,13,26,239
241,1996,15,58,0,SS,Other Flows - Same State,24,63,598
242,1996,15,59,0,DS,Other Flows - Diff State,46,90,1196
243,1996,17,96,0,ID,Bonner County Tot Mig-US & For,747,1491,16479
244,1996,17,97,0,ID,Bonner County Tot Mig-US,737,1475,16276
245,1996,17,97,1,ID,Bonner County Tot Mig-Same St,246,489,6008
246,1996,17,97,3,ID,Bonner County Tot Mig-Diff St,491,986,10268
247,1996,17,98,0,ID,Bonner County Tot Mig-Foreign,10,16,203
248,1996,17,16,17,ID,Bonner County Non-Migrants,9934,23566,300986
249,1996,17,16,55,ID,Kootenai County,133,267,3237
250,1996,17,53,63,WA,Spokane County,51,96,918
251,1996,17,53,51,WA,Pend Oreille County,35,82,689
252,1996,17,16,1,ID,Ada County,26,47,673
253,1996,17,16,21,ID,Boundary County,25,59,647
254,1996,17,53,33,WA,King County,25,33,612
255,1996,17,16,57,ID,Latah County,20,30,358
256,1996,17,58,0,SS,Other Flows - Same State,42,86,1093
257,1996,17,59,0,DS,Other Flows - Diff State,380,775,8049
258,1996,17,59,1,DS,Other Flows - Northeast,17,32,326
259,1996,17,59,3,DS,Other Flows - Midwest,48,111,1072
260,1996,17,59,5,DS,Other Flows - South,47,92,815
261,1996,17,59,7,DS,Other Flows - West,268,540,5836
262,1996,17,57,9,FR,Foreign - Other flows,10,16,203
263,1996,19,96,0,ID,Bonneville Coun Tot Mig-US & For,2206,5176,65043
264,1996,19,97,0,ID,Bonneville Coun Tot Mig-US,2163,5103,63822
265,1996,19,97,1,ID,Bonneville Coun Tot Mig-Same St,857,2000,22517
266,1996,19,97,3,ID,Bonneville Coun Tot Mig-Diff St,1306,3103,41305
267,1996,19,98,0,ID,Bonneville Coun Tot Mig-Foreign,43,73,1221
268,1996,19,16,19,ID,Bonneville Coun Non-Migrants,22944,62848,958469
269,1996,19,16,11,ID,Bingham County,180,433,4988
270,1996,19,16,51,ID,Jefferson County,155,426,4160
271,1996,19,16,1,ID,Ada County,147,300,4025
272,1996,19,16,5,ID,Bannock County,107,211,2201
273,1996,19,49,35,UT,Salt Lake County,98,214,2561
274,1996,19,49,49,UT,Utah County,66,157,1323
275,1996,19,53,35,WA,Kitsap County,61,169,1685
276,1996,19,16,65,ID,Madison County,41,83,1075
277,1996,19,4,13,AZ,Maricopa County,34,69,747
278,1996,19,16,57,ID,Latah County,33,65,608
279,1996,19,16,27,ID,Canyon County,32,80,867
280,1996,19,6,73,CA,San Diego County,29,67,957
281,1996,19,16,83,ID,Twin Falls County,28,84,709
282,1996,19,49,5,UT,Cache County,27,60,603
283,1996,19,49,11,UT,Davis County,25,86,986
284,1996,19,32,3,NV,Clark County,24,56,816
285,1996,19,16,43,ID,Fremont County,23,57,884
286,1996,19,41,67,OR,Washington County,22,42,601
287,1996,19,15,3,HI,Honolulu County,20,55,556
288,1996,19,30,31,MT,Gallatin County,19,35,411
289,1996,19,53,5,WA,Benton County,17,47,1050
290,1996,19,6,37,CA,Los Angeles County,16,35,200
291,1996,19,49,57,UT,Weber County,15,42,481
292,1996,19,51,810,VA,Virginia Beach,14,49,477
293,1996,19,53,33,WA,King County,14,30,387
294,1996,19,16,37,ID,Custer County,13,29,373
295,1996,19,8,59,CO,Jefferson County,12,29,546
296,1996,19,16,81,ID,Teton County,12,25,351
297,1996,19,53,63,WA,Spokane County,12,26,428
298,1996,19,8,5,CO,Arapahoe County,11,19,178
299,1996,19,9,11,CT,New London County,11,30,410
300,1996,19,16,55,ID,Kootenai County,11,27,397
301,1996,19,53,53,WA,Pierce County,11,29,238
302,1996,19,16,13,ID,Blaine County,10,19,174
303,1996,19,16,59,ID,Lemhi County,10,29,297
304,1996,19,41,51,OR,Multnomah County,10,18,210
305,1996,19,58,0,SS,Other Flows - Same State,55,132,1408
306,1996,19,59,0,DS,Other Flows - Diff State,738,1739,25455
307,1996,19,59,1,DS,Other Flows - Northeast,42,95,1692
308,1996,19,59,3,DS,Other Flows - Midwest,122,282,3849
309,1996,19,59,5,DS,Other Flows - South,200,483,6502
310,1996,19,59,7,DS,Other Flows - West,374,879,13412
311,1996,19,57,9,FR,Foreign - Other flows,43,73,1221
312,1996,21,96,0,ID,Boundary County Tot Mig-US & For,211,503,4357
313,1996,21,97,0,ID,Boundary County Tot Mig-US,211,503,4357
314,1996,21,97,1,ID,Boundary County Tot Mig-Same St,82,178,1700
315,1996,21,97,3,ID,Boundary County Tot Mig-Diff St,129,325,2657
316,1996,21,16,21,ID,Boundary County Non-Migrants,2746,7075,71950
317,1996,21,16,55,ID,Kootenai County,35,74,695
318,1996,21,16,17,ID,Bonner County,22,41,348
319,1996,21,30,53,MT,Lincoln County,11,28,160
320,1996,21,58,0,SS,Other Flows - Same State,25,63,657
321,1996,21,59,0,DS,Other Flows - Diff State,118,297,2497
322,1996,23,96,0,ID,Butte County Tot Mig-US & For,86,210,1846
323,1996,23,97,0,ID,Butte County Tot Mig-US,86,210,1846
324,1996,23,97,1,ID,Butte County Tot Mig-Same St,52,127,1116
325,1996,23,97,3,ID,Butte County Tot Mig-Diff St,34,83,730
326,1996,23,16,23,ID,Butte County Non-Migrants,822,2288,23504
327,1996,23,16,19,ID,Bonneville County,13,27,267
328,1996,23,16,11,ID,Bingham County,11,32,255
329,1996,23,58,0,SS,Other Flows - Same State,28,68,593
330,1996,23,59,0,DS,Other Flows - Diff State,34,83,730
331,1996,25,96,0,ID,Camas County Tot Mig-US & For,22,58,463
332,1996,25,97,0,ID,Camas County Tot Mig-US,22,58,463
333,1996,25,97,1,ID,Camas County Tot Mig-Same St,12,28,164
334,1996,25,97,3,ID,Camas County Tot Mig-Diff St,10,30,299
335,1996,25,16,25,ID,Camas County Non-Migrants,288,680,7701
336,1996,25,58,0,SS,Other Flows - Same State,12,28,164
337,1996,25,59,0,DS,Other Flows - Diff State,10,30,299
338,1996,27,96,0,ID,Canyon County Tot Mig-US & For,2424,5317,55952
339,1996,27,97,0,ID,Canyon County Tot Mig-US,2409,5282,55606
340,1996,27,97,1,ID,Canyon County Tot Mig-Same St,1333,2796,32869
341,1996,27,97,3,ID,Canyon County Tot Mig-Diff St,1076,2486,22737
342,1996,27,98,0,ID,Canyon County Tot Mig-Foreign,15,35,346
343,1996,27,16,27,ID,Canyon County Non-Migrants,32021,81111,1014464
344,1996,27,16,1,ID,Ada County,834,1610,21998
345,1996,27,16,73,ID,Owyhee County,129,339,2593
346,1996,27,16,75,ID,Payette County,61,148,1643
347,1996,27,16,83,ID,Twin Falls County,37,74,968
348,1996,27,41,45,OR,Malheur County,36,99,753
349,1996,27,16,45,ID,Gem County,31,82,674
350,1996,27,4,13,AZ,Maricopa County,29,84,795
351,1996,27,16,85,ID,Valley County,28,67,649
352,1996,27,6,37,CA,Los Angeles County,27,64,498
353,1996,27,49,35,UT,Salt Lake County,25,53,477
354,1996,27,53,33,WA,King County,25,45,450
355,1996,27,16,57,ID,Latah County,24,47,317
356,1996,27,48,215,TX,Hidalgo County,24,60,315
357,1996,27,6,73,CA,San Diego County,21,41,235
358,1996,27,16,5,ID,Bannock County,20,42,471
359,1996,27,16,39,ID,Elmore County,20,52,418
360,1996,27,16,87,ID,Washington County,20,48,391
361,1996,27,49,49,UT,Utah County,20,54,556
362,1996,27,53,11,WA,Clark County,20,44,713
363,1996,27,41,51,OR,Multnomah County,17,27,363
364,1996,27,16,15,ID,Boise County,15,35,378
365,1996,27,41,67,OR,Washington County,14,26,289
366,1996,27,41,39,OR,Lane County,13,30,241
367,1996,27,53,53,WA,Pierce County,13,26,237
368,1996,27,53,63,WA,Spokane County,13,30,215
369,1996,27,16,19,ID,Bonneville County,12,25,219
370,1996,27,32,3,NV,Clark County,11,19,138
371,1996,27,6,71,CA,San Bernardino Count,10,19,126
372,1996,27,15,3,HI,Honolulu County,10,14,218
373,1996,27,16,13,ID,Blaine County,10,18,140
374,1996,27,16,49,ID,Idaho County,10,21,150
375,1996,27,16,55,ID,Kootenai County,10,29,378
376,1996,27,41,59,OR,Umatilla County,10,28,322
377,1996,27,41,61,OR,Union County,10,23,190
378,1996,27,58,0,SS,Other Flows - Same State,72,159,1483
379,1996,27,59,0,DS,Other Flows - Diff State,728,1700,15607
380,1996,27,59,1,DS,Other Flows - Northeast,29,55,677
381,1996,27,59,3,DS,Other Flows - Midwest,103,250,2073
382,1996,27,59,5,DS,Other Flows - South,160,398,3346
383,1996,27,59,7,DS,Other Flows - West,436,997,9511
384,1996,27,57,9,FR,Foreign - Other flows,15,35,346
385,1996,29,96,0,ID,Caribou County Tot Mig-US & For,151,351,5068
386,1996,29,97,0,ID,Caribou County Tot Mig-US,151,351,5068
387,1996,29,97,1,ID,Caribou County Tot Mig-Same St,67,160,3141
388,1996,29,97,3,ID,Caribou County Tot Mig-Diff St,84,191,1927
389,1996,29,16,29,ID,Caribou County Non-Migrants,2100,6146,73892
390,1996,29,16,5,ID,Bannock County,35,78,2563
391,1996,29,49,5,UT,Cache County,19,41,249
392,1996,29,58,0,SS,Other Flows - Same State,32,82,578
393,1996,29,59,0,DS,Other Flows - Diff State,65,150,1678
394,1996,31,96,0,ID,Cassia County Tot Mig-US & For,617,1601,12982
395,1996,31,97,0,ID,Cassia County Tot Mig-US,617,1601,12982
396,1996,31,97,1,ID,Cassia County Tot Mig-Same St,378,982,7606
397,1996,31,97,3,ID,Cassia County Tot Mig-Diff St,239,619,5377
398,1996,31,16,31,ID,Cassia County Non-Migrants,6802,19847,208345
399,1996,31,16,67,ID,Minidoka County,165,467,3119
400,1996,31,16,83,ID,Twin Falls County,63,165,1315
401,1996,31,16,1,ID,Ada County,48,101,882
402,1996,31,16,5,ID,Bannock County,24,50,428
403,1996,31,16,27,ID,Canyon County,14,30,324
404,1996,31,49,49,UT,Utah County,14,28,309
405,1996,31,16,53,ID,Jerome County,13,33,227
406,1996,31,49,35,UT,Salt Lake County,12,30,682
407,1996,31,32,7,NV,Elko County,11,29,176
408,1996,31,49,5,UT,Cache County,11,25,126
409,1996,31,58,0,SS,Other Flows - Same State,51,136,1312
410,1996,31,59,0,DS,Other Flows - Diff State,191,507,4083
411,1996,33,96,0,ID,Clark County Tot Mig-US & For,38,111,721
412,1996,33,97,0,ID,Clark County Tot Mig-US,38,111,721
413,1996,33,97,1,ID,Clark County Tot Mig-Same St,21,68,391
414,1996,33,97,3,ID,Clark County Tot Mig-Diff St,17,43,330
415,1996,33,16,33,ID,Clark County Non-Migrants,247,665,6124
416,1996,33,58,0,SS,Other Flows - Same State,21,68,391
417,1996,33,59,0,DS,Other Flows - Diff State,17,43,330
418,1996,35,96,0,ID,Clearwater Coun Tot Mig-US & For,225,447,5425
419,1996,35,97,0,ID,Clearwater Coun Tot Mig-US,225,447,5425
420,1996,35,97,1,ID,Clearwater Coun Tot Mig-Same St,117,231,3016
421,1996,35,97,3,ID,Clearwater Coun Tot Mig-Diff St,108,216,2408
422,1996,35,16,35,ID,Clearwater Coun Non-Migrants,2853,6748,86329
423,1996,35,16,69,ID,Nez Perce County,52,98,1112
424,1996,35,16,57,ID,Latah County,17,28,378
425,1996,35,16,1,ID,Ada County,11,20,308
426,1996,35,58,0,SS,Other Flows - Same State,37,85,1219
427,1996,35,59,0,DS,Other Flows - Diff State,108,216,2408
428,1996,37,96,0,ID,Custer County Tot Mig-US & For,179,394,4808
429,1996,37,97,0,ID,Custer County Tot Mig-US,179,394,4808
430,1996,37,97,1,ID,Custer County Tot Mig-Same St,86,180,1931
431,1996,37,97,3,ID,Custer County Tot Mig-Diff St,93,214,2878
432,1996,37,16,37,ID,Custer County Non-Migrants,1300,3185,40146
433,1996,37,58,0,SS,Other Flows - Same State,86,180,1931
434,1996,37,59,0,DS,Other Flows - Diff State,93,214,2878
435,1996,39,96,0,ID,Elmore County Tot Mig-US & For,1268,3238,32434
436,1996,39,97,0,ID,Elmore County Tot Mig-US,1087,2773,28506
437,1996,39,97,1,ID,Elmore County Tot Mig-Same St,368,778,8845
438,1996,39,97,3,ID,Elmore County Tot Mig-Diff St,719,1995,19661
439,1996,39,98,0,ID,Elmore County Tot Mig-Foreign,181,465,3927
440,1996,39,16,39,ID,Elmore County Non-Migrants,6809,17465,199909
441,1996,39,16,1,ID,Ada County,227,456,5861
442,1996,39,16,27,ID,Canyon County,34,67,768
443,1996,39,32,3,NV,Clark County,24,76,700
444,1996,39,16,83,ID,Twin Falls County,20,37,388
445,1996,39,16,73,ID,Owyhee County,19,54,327
446,1996,39,2,20,AK,Anchorage Borough,16,52,430
447,1996,39,4,13,AZ,Maricopa County,13,34,386
448,1996,39,48,29,TX,Bexar County,11,27,360
449,1996,39,49,11,UT,Davis County,11,30,344
450,1996,39,2,90,AK,Fairbanks North Star,10,30,225
451,1996,39,4,19,AZ,Pima County,10,31,254
452,1996,39,8,41,CO,El Paso County,10,22,255
453,1996,39,53,63,WA,Spokane County,10,20,244
454,1996,39,58,0,SS,Other Flows - Same State,68,164,1500
455,1996,39,59,0,DS,Other Flows - Diff State,604,1673,16463
456,1996,39,59,1,DS,Other Flows - Northeast,52,131,1549
457,1996,39,59,3,DS,Other Flows - Midwest,132,389,3817
458,1996,39,59,5,DS,Other Flows - South,221,612,6353
459,1996,39,59,7,DS,Other Flows - West,199,541,4745
460,1996,39,57,9,FR,Foreign - Other flows,181,465,3927
461,1996,41,96,0,ID,Franklin County Tot Mig-US & For,224,535,4800
462,1996,41,97,0,ID,Franklin County Tot Mig-US,224,535,4800
463,1996,41,97,1,ID,Franklin County Tot Mig-Same St,42,122,1112
464,1996,41,97,3,ID,Franklin County Tot Mig-Diff St,182,413,3688
465,1996,41,16,41,ID,Franklin County Non-Migrants,2738,8581,77008
466,1996,41,49,5,UT,Cache County,77,152,1310
467,1996,41,49,35,UT,Salt Lake County,15,19,277
468,1996,41,49,49,UT,Utah County,10,18,184
469,1996,41,58,0,SS,Other Flows - Same State,42,122,1112
